HUC8_NUM,PH_MEDIAN,SULFATE_MEDIAN,ORGANIC_CARBON_MEDIAN,WETLAND_PERC
1050002,6.2,4.4,8.725,13.02024348
1070002,6.7,9,5.1,5.972897449
1070005,6.8,5.29,6.525,11.61654186
1080104,7.26,9,2.8,2.199470153
1080106,7.2,6.9,2.1,1.113315323
1090001,6.925,12.125,7,13.00951762
1090002,5.675,7.22,21.5,14.61444915
1100006,7.3,15.2,4.8,3.509620624
2020003,7.9,11.75,3,11.17417832
2030103,7.475,17.25,4.5,11.2694674
2030104,7.1,17.7,2.5,8.823850438
2030201,6.5,20,2.5,2.822407904
2030202,6.8,20,2.775,5.15425694
2040104,6.6,6.3,1.8,4.635476197
2040105,7.725,21.675,3.3,4.930558901
2040203,7.5,29.775,1.85,1.23124592
2050201,5.2,139.5,1.675,0.118554341
2050302,7.37,17.5,1.9,0.005337875
2060006,6.7,9,2.5,3.676385569
2060010,6.7,27.875,7.2,11.6202249
2070001,7.9,12,4.1,0.010179352
2070002,6.75,55.75,2.1,0.15314136
2070003,7,8.61,2.925,0.007638648
2070004,7.3,19,2.2,0.476776375
2070005,6.31,4.8225,1.4,0.008898395
2070007,7.1,18,41.975,0.579032476
2070008,7.2,14,3,1.199290062
2070009,7.5,9.9,1.9,2.044690426
2070010,7.005,17.2,3.8,1.082591526
2070011,6.8,10.4,5.05,3.170573605
2080103,6.84,2.424,2.2,0.626793112
2080107,6.995,5.58,7.35,10.57390654
2080202,7.1,7.4,0.2,0.000914923
2080206,6.825,5.075,7.85,9.068814262
2080207,6.77,4.4,4.8,4.286753955
3010101,7.4,4.675,3.65,0.055536631
3010103,7,4.1,2.65,0.331422886
3010201,6,3.5,5.85,8.127710318
3010202,6.5,8.23,11,12.16390323
3010205,6.3,23,15.55,37.46041285
3020106,6.05,7.45,24,42.44013997
3030002,7.025,12.4,7.4,1.611671535
3030006,5.59,4.85,13,21.79883759
3040101,7.025,36.225,2.95,0.271510722
3050101,6.9,6.505,2.4,0.42085968
3050105,6.85,1.5039,2.1335,1.100109132
3050109,7.065,5.179225,3.138,2.141569541
3060109,7.5,760,4.85,33.85659739
3060204,7.05,2200,16.25,43.04224708
3070103,6.9,11.5875,3,4.688388162
3070204,5.55,5.6,29,33.75434553
3080103,7.35,24.5,19.5,23.27074419
3080201,6.85,10.75,45,29.08949671
3080202,8.22,2797.25,1.175,41.79493471
3090202,7.5,25.5,15,54.67103141
3090203,7.3,2450,4.5,49.70794876
3090204,7.275,23,13.75,72.6594254
3130001,6.8,4.05,1.75,0.607441803
3130002,6.9,6.1,2.5,3.250140949
3150104,7.3,1.95,2.4,0.652369302
3150105,6.5425,4.6,3,0.897604256
3150106,7.7,4.4,1.85,1.822422179
3160101,7.2,8.85,7.5,11.44800611
3160104,7.6,28,5.1,15.97410654
3170009,6,3.255,12.5,25.89688265
3180001,6.6,2.2,2.8,15.38593739
4010101,7.4,2.67,10,3.010032104
4010301,6.735,10,12.35,9.597940975
4020201,7.85,5.7,4.2,28.77645883
4020300,7.5,4.1,2.6,1.598973114
4040001,7.3,36.5,13,2.687676797
4060104,8.15,10.5,16.725,10.27226211
4060106,7.3,4,8.9,47.60488664
4060200,7.95,22.3,3.275,20.93104772
4110002,7.8,58,7.3,2.724408627
5010007,5,383,1.575,0.035995468
5020004,6.8,7.7,3.9,0.846138029
5020005,7.7,105,2.2,0.047720769
5020006,6.875,16.5,2,0.237035759
5050001,7.7,2.92,1.8,0.087919304
5050002,7.8,14,3.5,0.043489565
5050004,7.7,16,3.175,0.09478077
5050005,6.85,14,4.5,0.38776573
5060002,7.6,40.25,5.55,0.059161521
5110001,7.315,9.649,1.16125,0.12440106
5110002,7.35,8,0.7,0.070515966
5130101,7.175,30.975,3,0.029662313
5130104,6.95,34,3.075,0.121781043
5130203,7.67,15,3.13875,0.314523858
5130204,7.4,15,40,0.23623516
5130205,7.5,12,2.437,1.476983479
5140201,7.2,153,5.9,1.511613879
6010103,7.1,6,0.4,0.087811801
6010105,6.9,3.3372,1.2525,0.153323524
6010106,6.42209,1.711115063,3.9,0.125153073
6010107,6.283585,3.287991047,0.7,0.120302232
6010108,7.5,3.9,1.1,0.181574185
6010201,6.7,1.906326907,2,0.688270311
6010202,6.4675,0.847900742,2.4,0.083432185
6010204,6.21,1.269467259,13.8,0.311026628
6010206,7.7,32.84,2.45,0.06423224
6010208,6.8,7.35,2.05,0.230518086
6030001,7.615,8.1,0.673825,1.339750661
6030005,7.3,5.09,3.525,3.342915079
6040001,7.175,4.705,1.5,4.339874099
6040003,7.6,5.185,1.05,0.375961733
6040004,7.75,3.685,0.55,0.680575568
7010206,8,20.45,8.65,6.983485113
7030001,7.7,4.775,9,14.23446909
7030002,7.4,4,6.2,12.28276841
7030004,7.5,4.98,13.5,15.00500458
7030005,7.905,4.1675,7.4,6.937898274
7060001,8.05,20.825,2.65,3.258476055
7060003,8,25,5.55,2.142337083
7080206,8.025,35.725,3.85,3.630403148
7120003,7.6,94.175,7.875,0.107491465
8020401,8.025,40,6.6,27.45465256
8030208,7.15,8.1625,5.775,30.46716967
8040101,7,7.4,0.85,0.366485701
8060100,7.8,53.5,6.4,46.86833673
8060201,6.3,2.25,5.5,12.5227764
8060202,7,11,8.2,11.48356738
8060204,7.3,5,6.525,10.98201987
9030001,7,2.5,9.3,5.727962876
9030003,6.6575,2.585,10.825,17.11992735
10010002,8.25,4.5,0.7,0.194096355
10020007,8.3,14.05,2.15,1.841923205
10020008,8.65,21.675,1.6,1.327977955
10060005,8.3,2299,13.45,4.475827498
10070001,8,17.2,2.2,2.486705497
10070002,7.875,15,2.85,1.89485287
10070006,7.8,87.2,3.875,1.881227637
10080010,7.9,238,3.8,1.722895042
10080012,7.9,6.7,2.5,0.292449141
10080014,8.1,240,3,1.962397011
10080015,7.675,300,9.55,3.67947363
10110203,8.42,613,16,0.769364101
10110205,8.415,727.25,16,1.80155122
10120107,7.6,15.825,5.3,1.068399583
10120109,8.05,19,3.4,0.788482727
10120111,8.2,152,41,2.538728172
10120201,8.575,879.5,9.9,0.424943232
10130101,8.25,355,13.5,7.154125503
10130201,8.235,460,15.5,1.213142669
10130202,8.15,427.5,19.5,1.108963344
10150002,7.62,15,4.075,0.701048839
10150004,8.23,6.125,3.55,4.980076471
10150007,8.1,13,5.45,2.619262029
10160011,8.3,550,16,2.464577658
10170101,8.265,313,19.6,2.406651829
10170203,8,80,13,1.520067308
10180001,7.7,1.39,9.95,6.310478688
10180009,8.26,208.75,4.9,2.35606932
10190001,8.2,20.1,3.4,4.349751112
10190005,7.65,3.5,3.875,3.781838123
10190006,6.6375,1.44545,1.1,2.10031841
10190007,8,41,3.3,2.121468431
10270202,7.8,62,12,0.326396477
11010001,7.5,7,2.275,0.297849496
11010003,7.7,5.465,1.3,0.204656219
11010004,8,7,3.975,0.533487541
11010005,7.6,3.7,1.25,0.138251192
11010008,7.92,3.4025,0.8,1.479627486
11020001,6.975,22.3,2.4,2.024383552
11070207,7.5,120,4.7,1.939638555
11070208,7.8,5.625,0.9,0.437845694
11090105,8.2,263,3.975,0.365976337
11090106,7.855,230,6.8,0.622169299
11130301,8.2,566,4.6,0.047260747
11130303,7.9,18.5,15.7,0.011310454
12020003,6.8,20.5,9,38.80121639
12020006,6.655,10,9.5,27.80018438
12020007,6.55,19,12.5,44.70524896
12030202,7.85,22,6.35,16.84364884
12100301,7.8,43,11,2.661520739
12100303,8,110,6.6,4.205204184
12110203,8.375,8.11,54,26.63505699
12110208,7.9,1500,4.85,5.865864779
13010003,7.8,10.6,2.8,2.470168205
13020101,8.2,31.5,2.7,0.413187729
13020201,7.5,22.75,3.8,0.120241994
13020202,8.2,10.1,4.35,0.604815253
13020203,8,35.325,12.4,1.126902324
13020207,8.1,145,48,0.078159087
13040203,7.9,688,4.1,0.032612115
13040204,7.5,43.5,0.675,0.008086523
13040212,8,272.5,2.65,0.16615875
13050003,8,2710,1.3,0.011119536
13060001,8.1,50,1.4,0.500160464
13060011,7.4,98.6175,7,0.576282025
13070008,8.1,440,2.3,0.511343533
13080001,7.5,91,1.4,1.385738223
14010001,8,6.1,3.475,2.449803801
14010005,8.1,497,4.6,1.476221711
14020002,7.9,18.5,2.3,1.032504022
14020005,8.2,691,4.1,1.123053538
14020006,8.2,697.5,4.1,0.551617767
14030001,8,227.5,5.5,0.712936859
14030005,7.9,41.75,4.465,0.741342483
14040106,8.275,63.05,5.9,1.821417572
14050002,8.2,95,7.25,0.1000631
14050007,8.2,190,4.55,0.526432226
14060002,8.1,1100,5.9,1.781436374
14060008,7.775,81.3,4.7,0.517571145
14060009,7.75,32,5.1,0.32998922
14070001,8.06,137,1.85,0.117255225
14070002,7.8,110,5.9,0.05177929
14070005,8.05,98,1.2,0.366936155
14070006,8.05,320,2.9,0.130914948
14070007,8,116,310,0.070930576
14080104,7.15,150,1.5,1.492821983
14080106,8.1,161,11.25,0.094527067
14080201,7.5,250,4.7,0.945759661
14080202,8.1,910,11,0.944247952
14080205,7.95,150,3.5,0.221538439
15010001,7.99,34.5,1.1525,0.047362561
15010002,8.03,75,1.245,0.008937497
15010003,8.1,155,2.9,0.127494427
15010004,7.71,38,0.5,0.010001794
15010005,8,61.5,6.15,0.043089882
15010010,7.95,480,8.575,0.626037365
15010012,7.6,50.8,3.05,0.096970254
15010015,7.5,21.8,3.8,0.100268522
15020002,8.1,310,5.5,0.329007225
15020011,8,38.275,1.925,0.043283709
15020016,7.9775,160,2.4825,0.226147454
15040001,8.05,7.505,3.75,0.062445015
15050100,8.025,195,8.7,1.019889709
15050202,7.5,64.125,1.5,0.279288782
15050203,8.2,159.5,4.975,0.617689932
15050301,7.85,71.5,6.7,0.132143718
15050302,7.65,10.86,17,0.074527579
15050303,8.85,71,30,0.991911777
15050304,8.075,4.7225,19.2,0.199445098
15060103,7.6,1220,4.175,0.193009201
15060202,8,13.35,1.9,0.254468774
15080101,8.1,8.05,18.5,1.536348819
15080102,8,99.3,3.075,0.159829722
16010101,7.9,51,6.5,1.883504279
16020301,7.2,4,1.1,0.037328419
16060008,7.6,9.25,0.8,0.265294295
17010201,8.2,75,2,0.947751384
17010206,8.2,2.825,0.9,0.117810147
17010207,6.75,3.09,1,0.138336522
17010208,8.1,3.93,2.2,1.826826152
17010307,7.4,67,1.9,0.572167409
17020001,7.4,9.35,1.4,1.069623501
17020005,7.95,3.7,2.2,0.888948687
17020008,8.2,5.55,1.25,0.694065522
17030002,7.7,5,1.1,0.735460094
17040101,7.8,5.07,1.615,3.439588589
17040103,8,4.745,2,2.717525071
17040202,7.4,1.9,0.1,3.875222961
17040203,8.2,2.9,1.85,2.817294148
17040204,7.3,2.05,2.3,3.075854365
17040206,7.8,39,1.55,2.625097483
17040209,7.7,43,2.8,0.084517869
17040210,7.8,14,2.7,0.292204746
17040211,7.6,6.8,2.65,0.223232305
17040212,8.2,45.863,2,0.053330224
17040218,8.1,17,1.85,0.914363491
17040221,7.625,18.05,1.7,0.849772794
17060105,7.6,1.6,1.85,0.054304329
17060209,8,22,2.9,0.151130926
17060305,8.6,19.455,2.3,0.121110524
17060306,7.85,2.25,2.125,0.432453664
17070204,8.4,8.05,6.5,0.139828007
17080001,7,2.2,1.4,3.392960161
17080004,6.55,1.7,1.55,1.060219587
17100101,6.955,4.7,1.025,2.662556386
17100102,6.95,5.67,1.65,4.680342589
17100105,7.3,5.4,0.6,8.347056472
17100106,6.95,4.025,2.8,6.994531756
17100301,7.7,1,2,0.136973714
17100311,8.02,1.94,6.1,0.836460884
17110004,7.55,20.985,2.2,4.001299588
17110014,6.925,7.5,1.35,1.578307901
17110015,6.7,8.5,0.7,4.085277158
17110017,7.5,1.775,0.7,3.07165898
17110018,7.4,1.48,1.15,2.297460017
17110020,7.55,8.325,0.725,1.393354772
18010101,8,2.75,1.5,0.92035439
18010201,7.505,2.2,0.75,6.671979647
18010209,8.15,7.215,3.65,0.081598625
18010211,6.85,240,1.15,0.038794672
18020003,6.725,0.6,2.7,0.201393037
18020101,7.5,5.6,1.45,1.23876472
18020112,7.35,3,1.2,0.196172232
18020118,7.5,2,2.55,0.349905533
18020119,7.265,101,1.8,0.195742401
18020121,6.5,9.7,0.8,0.960410656
18040006,7.2,1.1,2.2,0.193636866
18040008,6.9,0.5,1.4,0.125609499
18040009,6.85,0.9,0.65,0.294282653
18050001,7.75,169,5.85,15.07803453
18050002,7.75,23,3.6,3.138903832
18050003,8.1,41.5,4.05,1.122557114
18050004,7.725,62.95,4.8,1.232427222
18050005,7.6,11,2.05,1.425053547
18050006,8.2,6.15,2.5,0.281501716
18060002,8,160,5.2,0.548665748
18060005,8.2,97,4.05,1.187316709
18070102,8.05,201.5,5.2,0.349394864
18070105,8.9,195,15.75,0.203922284
18070304,8.1,66,4.975,0.545716795
18090202,8.1,51.05,0.25,0.090551908
18090203,8.2,171.5,0.75,0.008884068
18090208,8.2,44.425,142.5,0.076171419
18100100,7.65,28.5,1.8,0.003312727
18100200,7.8,700,14,0.272810872
19010203,7.25,1.62,1.15,1.350814311
19010301,7.2,4.885,1.05,0.53582139
19010303,7.7,30.5,1.4,0.463056831
19020103,8,6.2,2.25,0.809618221
19020104,8.05,18.5,7.2,6.207994919
19020202,7,6.93,0.8,2.419697544
19020301,7.4,0.62,5.5,8.242036291
19020302,7.6,5.21,0.6,9.609500488
19020502,7.8,20,2.1,3.010318392
19020601,6.85,6.5,2.1,11.53636757
19020602,7.2,5.125,0.4,0.300718597
19030205,7.325,7.175,0.6,1.47065038
19030206,7.085,7.3,1,2.379080758
19030405,7.95,38.2,2.4,3.422918989
19040401,7.75,110,3.4,7.902213549
19040508,8.15,92.5,1.15,5.583352805
19040510,7.95,14.85,2.25,6.524615888
19040601,7.95,5.45,1,0.274102128
19050304,7.2,18.5,5.6,14.72724474
19050404,7.9,16.585,2.7,5.799976887
19060302,7,2.425,7.6,0.491650015
19060304,7.8,25,9,6.536576282
